1. FC NÜRNBERG
1. FSV MAINZ 05
1899 HOFFENHEIM
BAYER 04 LEVERKUSEN
BORUSSIA DORTMUND
BORUSSIA MÖNCHENGLADBACH
EINTRACHT FRANKFURT
FC AUGSBURG
FC BAYERN MÜNCHEN
FC SCHALKE 04
FORTUNA DÜSSELDORF
HAMBURGER SV
HANNOVER 96
SV WERDER BREMEN
SPVGG GREUTHER FÜRTH
SPORT-CLUB FREIBURG
VFB STUTTGART
VFL WOLFSBURG
